Category,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26
BUDGET DRIVERS (INPUT):,,,,,,,,,,,,,,,,,,,,,,,,
SB Units,20000,20120,20240.72,20362.16432,20484.33731,20607.24333,20730.88679,20855.27211,20980.40374,21106.28617,21232.92388,21360.32143,21488.48335,21617.41425,21747.11874,21877.60145,22008.86706,22140.92026,22273.76579,22407.40838,22541.85283,22677.10395,22813.16657,22950.04557
SP UNITS,30000,30180,30361.08,30543.24648,30726.50596,30910.86499,31096.33018,31282.90817,31470.60561,31659.42925,31849.38582,32040.48214,32232.72503,32426.12138,32620.67811,32816.40218,33013.30059,33211.3804,33410.64868,33611.11257,33812.77925,34015.65592,34219.74986,34425.06836
HH Units,17000,17102,17204.612,17307.83967,17411.68671,17516.15683,17621.25377,17726.98129,17833.34318,17940.34324,18047.9853,18156.27321,18265.21085,18374.80212,18485.05093,18595.96123,18707.537,18819.78222,18932.70092,19046.29712,19160.57491,19275.53836,19391.19159,19507.53873
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue:,,,,,,,,,,,,,,,,,,,,,,,,
SB Revenue,360000,362160,364332.96,366518.9578,368718.0715,370930.3799,373155.9622,375394.898,377647.2674,379913.151,382192.6299,384485.7857,386792.7004,389113.4566,391448.1373,393796.8261,396159.6071,398536.5647,400927.7841,403333.3508,405753.3509,408187.871,410636.9983,413100.8203
SP Revenue,390000,392340,394694.04,397062.2042,399444.5775,401841.2449,404252.2924,406677.8062,409117.873,411572.5802,414042.0157,416526.2678,419025.4254,421539.578,424068.8154,426613.2283,429172.9077,431747.9451,434338.4328,436944.4634,439566.1302,442203.527,444856.7481,447525.8886
HH Revenue,425000,427550,430115.3,432695.9918,435292.1678,437903.9208,440531.3443,443174.5323,445833.5795,448508.581,451199.6325,453906.8303,456630.2713,459370.0529,462126.2732,464899.0309,467688.4251,470494.5556,473317.5229,476157.4281,479014.3726,481888.4589,484779.7896,487688.4684
Total Revenue,"$1,175,000","$1,182,050","$1,189,142","$1,196,277","$1,203,455","$1,210,676","$1,217,940","$1,225,247","$1,232,599","$1,239,994","$1,247,434","$1,254,919","$1,262,448","$1,270,023","$1,277,643","$1,285,309","$1,293,021","$1,300,779","$1,308,584","$1,316,435","$1,324,334","$1,332,280","$1,340,274","$1,348,315"
COGS:,,,,,,,,,,,,,,,,,,,,,,,,
SB COGS,140000,140840,141685.04,142535.1502,143390.3611,144250.7033,145116.2075,145986.9048,146862.8262,147744.0032,148630.4672,149522.25,150419.3835,151321.8998,152229.8312,153143.2102,154062.0694,154986.4418,155916.3605,156851.8587,157792.9698,158739.7276,159692.166,160650.319
SP COGS,150000,150900,151805.4,152716.2324,153632.5298,154554.325,155481.6509,156414.5408,157353.0281,158297.1462,159246.9291,160202.4107,161163.6252,162130.6069,163103.3906,164082.0109,165066.503,166056.902,167053.2434,168055.5628,169063.8962,170078.2796,171098.7493,172125.3418
HH COGS,153000,153918,154841.508,155770.557,156705.1804,157645.4115,158591.2839,159542.8316,160500.0886,161463.0892,162431.8677,163406.4589,164386.8977,165373.219,166365.4584,167363.6511,168367.833,169378.04,170394.3083,171416.6741,172445.1742,173479.8452,174520.7243,175567.8486
Total COGS,"$583,000","$586,498","$590,017","$593,557","$597,118","$600,701","$604,305","$607,931","$611,579","$615,248","$618,940","$622,653","$626,389","$630,148","$633,929","$637,732","$641,558","$645,408","$649,280","$653,176","$657,095","$661,038","$665,004","$668,994"
Gross Profit,"$592,000","$595,552","$599,125","$602,720","$606,336","$609,974","$613,634","$617,316","$621,020","$624,746","$628,495","$632,266","$636,059","$639,875","$643,715","$647,577","$651,462","$655,371","$659,303","$663,259","$667,239","$671,242","$675,270","$679,321"
OPEX:,,,,,,,,,,,,,,,,,,,,,,,,
Sales&marketing,129250,130025.5,130805.653,131590.4869,132380.0298,133174.31,133973.3559,134777.196,135585.8592,136399.3743,137217.7706,138041.0772,138869.3237,139702.5396,140540.7549,141383.9994,142232.3034,143085.6972,143944.2114,144807.8767,145676.7239,146550.7843,147430.089,148314.6695
G&A,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
R&D,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
Total Opex,"$359,250","$360,026","$360,806","$361,590","$362,380","$363,174","$363,973","$364,777","$365,586","$366,399","$367,218","$368,041","$368,869","$369,703","$370,541","$371,384","$372,232","$373,086","$373,944","$374,808","$375,677","$376,551","$377,430","$378,315"
Net income,"$232,750","$235,527","$238,320","$241,130","$243,956","$246,800","$249,661","$252,539","$255,434","$258,347","$261,277","$264,224","$267,190","$270,173","$273,174","$276,193","$279,230","$282,286","$285,359","$288,451","$291,562","$294,691","$297,840","$301,007"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
